multiprune,headstr,pluslayer,plushead,acc1
0,.....,0,0,80.952
0,.....,0,1,81.094
0,.....,0,2,80.986
0,.....,0,3,81.066
0,.....,0,4,81.092
0,.....,0,5,81.05
0,.....,0,6,81.172
0,.....,0,7,81.196
0,.....,0,8,81.162
0,.....,0,9,81.124
0,.....,0,10,81.178
0,.....,0,11,81.074
0,.....,1,0,81.138
0,.....,1,1,81.096
0,.....,1,2,81.142
0,.....,1,3,81.144
0,.....,1,4,81.196
0,.....,1,5,81.034
0,.....,1,6,81.102
0,.....,1,7,81.046
0,.....,1,8,81.01
0,.....,1,9,81.094
0,.....,1,10,81.02
0,.....,1,11,81.254
0,.....,2,0,81.184
0,.....,2,1,81.08
0,.....,2,2,81.044
0,.....,2,3,81.148
0,.....,2,4,81.108
0,.....,2,5,81.184
0,.....,2,6,81.146
0,.....,2,7,81.04
0,.....,2,8,81.062
0,.....,2,9,81.128
0,.....,2,10,81.086
0,.....,2,11,81.078
0,.....,3,0,81.072
0,.....,3,1,81.154
0,.....,3,2,81.194
0,.....,3,3,81.102
0,.....,3,4,81.14
0,.....,3,5,81.13
0,.....,3,6,81.14
0,.....,3,7,81.246
0,.....,3,8,81.134
0,.....,3,9,81.044
0,.....,3,10,81.05
0,.....,3,11,81.076
0,.....,4,0,81.082
0,.....,4,1,81.09
0,.....,4,2,81.06
0,.....,4,3,81.03
0,.....,4,4,81.164
0,.....,4,5,81.036
0,.....,4,6,81.102
0,.....,4,7,81.024
0,.....,4,8,81.02
0,.....,4,9,81.19
0,.....,4,10,81.072
0,.....,4,11,80.868
0,.....,5,0,81.114
0,.....,5,1,81.09
0,.....,5,2,80.938
0,.....,5,3,81.128
0,.....,5,4,80.932
0,.....,5,5,81.094
0,.....,5,6,81.09
0,.....,5,7,81.114
0,.....,5,8,81.02
0,.....,5,9,81.214
0,.....,5,10,81.044
0,.....,5,11,81.096
1,7.11.0.7.9.9,0,0,80.38
1,7.11.0.7.9.9,0,1,80.746
1,7.11.0.7.9.9,0,2,80.442
1,7.11.0.7.9.9,0,3,80.676
1,7.11.0.7.9.9,0,4,80.602
1,7.11.0.7.9.9,0,5,80.696
1,7.11.0.7.9.9,0,6,80.722
1,7.11.0.7.9.9,0,8,80.686
1,7.11.0.7.9.9,0,9,80.692
1,7.11.0.7.9.9,0,10,80.658
1,7.11.0.7.9.9,0,11,80.626
1,7.11.0.7.9.9,1,0,80.718
1,7.11.0.7.9.9,1,1,80.736
1,7.11.0.7.9.9,1,2,80.63
1,7.11.0.7.9.9,1,3,80.748
1,7.11.0.7.9.9,1,4,80.774
1,7.11.0.7.9.9,1,5,80.566
1,7.11.0.7.9.9,1,6,80.682
1,7.11.0.7.9.9,1,7,80.616
1,7.11.0.7.9.9,1,8,80.524
1,7.11.0.7.9.9,1,9,80.632
1,7.11.0.7.9.9,1,10,80.634
1,7.11.0.7.9.9,2,1,80.464
1,7.11.0.7.9.9,2,2,80.638
1,7.11.0.7.9.9,2,3,80.712
1,7.11.0.7.9.9,2,4,80.63
1,7.11.0.7.9.9,2,5,80.708
1,7.11.0.7.9.9,2,6,80.664
1,7.11.0.7.9.9,2,7,80.674
1,7.11.0.7.9.9,2,8,80.634
1,7.11.0.7.9.9,2,9,80.552
1,7.11.0.7.9.9,2,10,80.632
1,7.11.0.7.9.9,2,11,80.684
1,7.11.0.7.9.9,3,0,80.642
1,7.11.0.7.9.9,3,1,80.686
1,7.11.0.7.9.9,3,2,80.732
1,7.11.0.7.9.9,3,3,80.7
1,7.11.0.7.9.9,3,4,80.69
1,7.11.0.7.9.9,3,5,80.662
1,7.11.0.7.9.9,3,6,80.708
1,7.11.0.7.9.9,3,8,80.742
1,7.11.0.7.9.9,3,9,80.388
1,7.11.0.7.9.9,3,10,80.632
1,7.11.0.7.9.9,3,11,80.652
1,7.11.0.7.9.9,4,0,80.556
1,7.11.0.7.9.9,4,1,80.708
1,7.11.0.7.9.9,4,2,80.712
1,7.11.0.7.9.9,4,3,80.618
1,7.11.0.7.9.9,4,4,80.68
