multiprune,pluslayer,plushead,acc1
1.0,0.0,10.0,80.658
1.0,0.0,5.0,80.696
1.0,0.0,8.0,80.686
1.0,0.0,6.0,80.722
1.0,0.0,9.0,80.692
1.0,0.0,3.0,80.676
1.0,0.0,4.0,80.602
1.0,0.0,1.0,80.746
1.0,0.0,11.0,80.626
1.0,0.0,2.0,80.442
1.0,0.0,0.0,80.38
1.0,1.0,4.0,80.774
1.0,1.0,3.0,80.748
1.0,1.0,6.0,80.682
1.0,1.0,0.0,80.718
1.0,1.0,1.0,80.736
1.0,1.0,2.0,80.63
1.0,1.0,7.0,80.616
1.0,1.0,10.0,80.634
1.0,1.0,9.0,80.632
1.0,1.0,8.0,80.524
1.0,1.0,5.0,80.566
1.0,2.0,5.0,80.708
1.0,2.0,9.0,80.552
1.0,2.0,1.0,80.464
1.0,2.0,7.0,80.674
1.0,2.0,10.0,80.632
1.0,2.0,3.0,80.712
1.0,2.0,4.0,80.63
1.0,2.0,8.0,80.634
1.0,2.0,6.0,80.664
1.0,2.0,2.0,80.638
1.0,2.0,11.0,80.684
1.0,3.0,8.0,80.742
1.0,3.0,4.0,80.69
1.0,3.0,2.0,80.732
1.0,3.0,1.0,80.686
1.0,3.0,11.0,80.652
1.0,3.0,5.0,80.662
1.0,3.0,3.0,80.7
1.0,3.0,6.0,80.708
1.0,3.0,0.0,80.642
1.0,3.0,10.0,80.632
1.0,3.0,9.0,80.388
1.0,4.0,6.0,80.792
1.0,4.0,2.0,80.712
1.0,4.0,3.0,80.618
1.0,4.0,7.0,80.696
1.0,4.0,4.0,80.68
1.0,4.0,10.0,80.516
1.0,4.0,0.0,80.556
1.0,4.0,8.0,80.556
1.0,4.0,1.0,80.708
1.0,4.0,11.0,80.504
1.0,4.0,5.0,80.56
1.0,5.0,11.0,80.78
1.0,5.0,1.0,80.67
1.0,5.0,3.0,80.668
1.0,5.0,6.0,80.716
1.0,5.0,7.0,80.686
1.0,5.0,5.0,80.69
1.0,5.0,8.0,80.73
1.0,5.0,10.0,80.648
1.0,5.0,2.0,80.582
1.0,5.0,0.0,80.67
1.0,5.0,4.0,80.49
2.0,0.0,5.0,80.36
2.0,0.0,8.0,80.444
2.0,0.0,6.0,80.426
2.0,0.0,9.0,80.298
2.0,0.0,3.0,80.378
2.0,0.0,4.0,80.42
2.0,0.0,1.0,80.35
2.0,0.0,11.0,80.402
2.0,0.0,2.0,80.198
2.0,0.0,0.0,80.154
2.0,1.0,3.0,80.526
2.0,1.0,6.0,80.472
2.0,1.0,0.0,80.422
2.0,1.0,1.0,80.362
2.0,1.0,2.0,80.386
2.0,1.0,7.0,80.362
2.0,1.0,10.0,80.39
2.0,1.0,9.0,80.45
2.0,1.0,8.0,80.354
2.0,1.0,5.0,80.188
2.0,2.0,9.0,80.274
2.0,2.0,1.0,80.254
2.0,2.0,7.0,80.406
2.0,2.0,10.0,80.4
2.0,2.0,3.0,80.422
2.0,2.0,4.0,80.402
2.0,2.0,8.0,80.434
2.0,2.0,6.0,80.476
2.0,2.0,2.0,80.314
2.0,2.0,11.0,80.276
2.0,3.0,4.0,80.398
2.0,3.0,2.0,80.488
2.0,3.0,1.0,80.384
2.0,3.0,11.0,80.446
2.0,3.0,5.0,80.44
2.0,3.0,3.0,80.402
2.0,3.0,6.0,80.492
2.0,3.0,0.0,80.372
2.0,3.0,10.0,80.332
2.0,3.0,9.0,80.154
2.0,4.0,2.0,80.418
2.0,4.0,3.0,80.466
2.0,4.0,7.0,80.324
2.0,4.0,4.0,80.45
2.0,4.0,10.0,80.252
2.0,4.0,0.0,80.226
2.0,4.0,8.0,80.336
2.0,4.0,1.0,80.336
2.0,4.0,11.0,80.272
2.0,4.0,5.0,80.308
2.0,5.0,1.0,80.346
2.0,5.0,3.0,80.418
2.0,5.0,6.0,80.422
2.0,5.0,7.0,80.408
2.0,5.0,5.0,80.468
2.0,5.0,8.0,80.368
2.0,5.0,10.0,80.358
2.0,5.0,2.0,80.39
2.0,5.0,0.0,80.384
2.0,5.0,4.0,80.338
3.0,0.0,8.0,79.558
3.0,0.0,6.0,79.506
3.0,0.0,9.0,79.394
3.0,0.0,3.0,79.498
3.0,0.0,4.0,79.51
3.0,0.0,1.0,79.196
3.0,0.0,11.0,79.342
3.0,0.0,2.0,79.17
3.0,0.0,0.0,79.316
3.0,1.0,6.0,79.554
3.0,1.0,0.0,79.532
3.0,1.0,1.0,79.498
3.0,1.0,2.0,79.442
3.0,1.0,7.0,79.214
3.0,1.0,10.0,79.504
3.0,1.0,9.0,79.434
3.0,1.0,8.0,79.424
3.0,1.0,5.0,79.164
3.0,2.0,1.0,79.414
3.0,2.0,7.0,79.416
3.0,2.0,10.0,79.498
3.0,2.0,3.0,79.468
3.0,2.0,4.0,79.446
3.0,2.0,8.0,79.55
3.0,2.0,6.0,79.492
3.0,2.0,2.0,79.334
3.0,2.0,11.0,79.23
3.0,3.0,2.0,79.618
3.0,3.0,1.0,79.518
3.0,3.0,11.0,79.538
3.0,3.0,5.0,79.502
3.0,3.0,3.0,79.514
3.0,3.0,6.0,79.682
3.0,3.0,0.0,79.416
3.0,3.0,10.0,79.476
3.0,3.0,9.0,79.316
3.0,4.0,3.0,79.584
3.0,4.0,7.0,79.526
3.0,4.0,4.0,79.574
3.0,4.0,10.0,79.326
3.0,4.0,0.0,79.264
3.0,4.0,8.0,79.44
3.0,4.0,1.0,79.496
3.0,4.0,11.0,79.494
3.0,4.0,5.0,79.384
3.0,5.0,3.0,79.66
3.0,5.0,6.0,79.472
3.0,5.0,7.0,79.436
3.0,5.0,5.0,79.618
3.0,5.0,8.0,79.526
3.0,5.0,10.0,79.592
3.0,5.0,2.0,79.512
3.0,5.0,0.0,79.456
3.0,5.0,4.0,79.382
4.0,0.0,6.0,78.754
4.0,0.0,9.0,78.384
4.0,0.0,3.0,78.794
4.0,0.0,4.0,78.768
4.0,0.0,1.0,78.582
4.0,0.0,11.0,78.742
4.0,0.0,2.0,78.32
4.0,0.0,0.0,78.106
4.0,1.0,0.0,78.848
4.0,1.0,1.0,78.86
4.0,1.0,2.0,78.702
4.0,1.0,7.0,78.43
4.0,1.0,10.0,78.844
4.0,1.0,9.0,78.688
4.0,1.0,8.0,78.556
4.0,1.0,5.0,78.612
4.0,2.0,7.0,78.75
4.0,2.0,10.0,78.722
4.0,2.0,3.0,78.668
4.0,2.0,4.0,78.722
4.0,2.0,8.0,78.804
