stage,layer,onehead,otherheads,headnum,acc1
2,0,0,,1,80.952
2,0,1,,1,81.094
2,0,2,,1,80.986
2,0,3,,1,81.066
2,0,4,,1,81.092
2,0,5,,1,81.05
2,0,6,,1,81.172
2,0,7,,1,81.196
2,0,8,,1,81.162
2,0,9,,1,81.124
2,0,10,,1,81.178
2,0,11,,1,81.074
2,0,0,7.0,2,80.902
2,0,1,7.0,2,81.082
2,0,2,7.0,2,80.926
2,0,3,7.0,2,81.038
2,0,4,7.0,2,81.064
2,0,5,7.0,2,81.044
2,0,6,7.0,2,81.148
2,0,8,7.0,2,81.156
2,0,9,7.0,2,81.086
2,0,10,7.0,2,81.168
2,0,11,7.0,2,81.054
2,0,0,10+7,3,80.844
2,0,1,10+7,3,80.996
2,0,2,10+7,3,80.818
2,0,3,10+7,3,81.038
2,0,4,10+7,3,80.99
2,0,5,10+7,3,81.12
2,0,6,10+7,3,81.092
2,0,8,10+7,3,81.108
2,0,9,10+7,3,81.014
2,0,11,10+7,3,81.044
2,0,0,10+5+7,4,80.79
2,0,1,10+5+7,4,80.99
2,0,2,10+5+7,4,80.834
2,0,3,10+5+7,4,80.954
2,0,4,10+5+7,4,80.912
2,0,6,10+5+7,4,81.03
2,0,8,10+5+7,4,81.078
2,0,9,10+5+7,4,80.988
2,0,11,10+5+7,4,80.808
2,0,0,8+10+5+7,5,80.748
2,0,1,8+10+5+7,5,80.944
2,0,2,8+10+5+7,5,80.824
2,0,3,8+10+5+7,5,80.868
2,0,4,8+10+5+7,5,80.858
2,0,6,8+10+5+7,5,81.046
2,0,9,8+10+5+7,5,80.976
2,0,11,8+10+5+7,5,80.824
2,0,0,5+6+7+8+10,6,80.678
2,0,1,5+6+7+8+10,6,80.874
2,0,2,5+6+7+8+10,6,80.782
2,0,3,5+6+7+8+10,6,80.864
2,0,4,5+6+7+8+10,6,80.838
2,0,9,5+6+7+8+10,6,80.93
2,0,11,5+6+7+8+10,6,80.776
2,0,0,5+6+7+8+9+10,7,80.536
2,0,1,5+6+7+8+9+10,7,80.754
2,0,2,5+6+7+8+9+10,7,80.65
2,0,3,5+6+7+8+9+10,7,80.886
2,0,4,5+6+7+8+9+10,7,80.776
2,0,11,5+6+7+8+9+10,7,80.688
2,0,0,3+5+6+7+8+9+10,8,80.414
2,0,1,3+5+6+7+8+9+10,8,80.706
2,0,2,3+5+6+7+8+9+10,8,80.538
2,0,4,3+5+6+7+8+9+10,8,80.708
2,0,11,3+5+6+7+8+9+10,8,80.616
2,0,0,3+4+5+6+7+8+9+10,9,80.358
2,0,1,3+4+5+6+7+8+9+10,9,80.586
2,0,2,3+4+5+6+7+8+9+10,9,80.44
2,0,11,3+4+5+6+7+8+9+10,9,80.462
2,0,0,1+3+4+5+6+7+8+9+10,10,80.206
2,0,2,1+3+4+5+6+7+8+9+10,10,80.152
2,0,11,1+3+4+5+6+7+8+9+10,10,80.346
2,0,0,1+3+4+5+6+7+8+9+10+11,11,80.052
2,0,2,1+3+4+5+6+7+8+9+10+11,11,80.1
2,0,0,1+2+3+4+5+6+7+8+9+10+11,12,79.406
2,1,0,,1,81.138
2,1,1,,1,81.096
2,1,2,,1,81.142
2,1,3,,1,81.144
2,1,4,,1,81.196
2,1,5,,1,81.034
2,1,6,,1,81.102
2,1,7,,1,81.046
2,1,8,,1,81.01
2,1,9,,1,81.094
2,1,10,,1,81.02
2,1,11,,1,81.254
2,1,0,11,2,81.22
2,1,1,11,2,81.1
2,1,2,11,2,81.148
2,1,3,11,2,81.262
2,1,4,11,2,81.282
2,1,5,11,2,81.104
2,1,6,11,2,81.246
2,1,7,11,2,81.152
2,1,8,11,2,81.056
2,1,9,11,2,81.144
2,1,10,11,2,81.068
2,1,0,11+4,3,81.268
2,1,1,11+4,3,81.15
2,1,2,11+4,3,81.138
2,1,3,11+4,3,81.27
2,1,5,11+4,3,81.086
2,1,6,11+4,3,81.184
2,1,7,11+4,3,81.134
2,1,8,11+4,3,81.04
2,1,9,11+4,3,81.098
2,1,10,11+4,3,81.008
2,1,0,11+3+4,4,81.188
2,1,1,11+3+4,4,81.102
2,1,2,11+3+4,4,81.118
2,1,5,11+3+4,4,81.098
2,1,6,11+3+4,4,81.202
2,1,7,11+3+4,4,81.104
2,1,8,11+3+4,4,81.064
2,1,9,11+3+4,4,81.112
2,1,10,11+3+4,4,81.022
2,1,0,11+3+4+6,5,81.156
2,1,1,11+3+4+6,5,81.064
2,1,2,11+3+4+6,5,81.0
2,1,5,11+3+4+6,5,81.036
2,1,7,11+3+4+6,5,81.042
2,1,8,11+3+4+6,5,80.962
2,1,9,11+3+4+6,5,80.994
2,1,10,11+3+4+6,5,80.954
2,1,1,0+3+4+6+11,6,81.094
2,1,2,0+3+4+6+11,6,81.018
2,1,5,0+3+4+6+11,6,80.964
2,1,7,0+3+4+6+11,6,81.012
2,1,8,0+3+4+6+11,6,80.966
2,1,9,0+3+4+6+11,6,80.962
2,1,10,0+3+4+6+11,6,80.966
2,1,2,0+1+3+4+6+11,7,80.96
2,1,5,0+1+3+4+6+11,7,80.808
2,1,7,0+1+3+4+6+11,7,80.902
2,1,8,0+1+3+4+6+11,7,80.914
2,1,9,0+1+3+4+6+11,7,80.836
2,1,10,0+1+3+4+6+11,7,80.944
2,1,5,0+1+2+3+4+6+11,8,80.626
2,1,7,0+1+2+3+4+6+11,8,80.85
2,1,8,0+1+2+3+4+6+11,8,80.802
2,1,9,0+1+2+3+4+6+11,8,80.76
2,1,10,0+1+2+3+4+6+11,8,80.85
2,1,5,0+1+2+3+4+6+7+11,9,80.43
2,1,8,0+1+2+3+4+6+7+11,9,80.632
2,1,9,0+1+2+3+4+6+7+11,9,80.626
2,1,10,0+1+2+3+4+6+7+11,9,80.768
2,1,5,0+1+2+3+4+6+7+10+11,10,80.392
2,1,8,0+1+2+3+4+6+7+10+11,10,80.558
2,1,9,0+1+2+3+4+6+7+10+11,10,80.604
2,1,5,0+1+2+3+4+6+7+9+10+11,11,80.34
2,1,8,0+1+2+3+4+6+7+9+10+11,11,80.374
2,1,5,0+1+2+3+4+6+7+8+9+10+11,12,80.144
2,2,0,,1,81.184
2,2,1,,1,81.08
2,2,2,,1,81.044
2,2,3,,1,81.148
2,2,4,,1,81.108
2,2,5,,1,81.184
2,2,6,,1,81.146
2,2,7,,1,81.04
2,2,8,,1,81.062
2,2,9,,1,81.128
2,2,10,,1,81.086
2,2,11,,1,81.078
2,2,1,0,2,81.18
2,2,2,0,2,81.012
2,2,3,0,2,81.172
2,2,4,0,2,81.094
2,2,5,0,2,81.196
2,2,6,0,2,81.118
2,2,7,0,2,81.118
2,2,8,0,2,81.146
2,2,9,0,2,81.1
2,2,10,0,2,81.124
2,2,11,0,2,81.066
2,2,1,0+5,3,81.06
2,2,2,0+5,3,81.0
2,2,3,0+5,3,81.066
2,2,4,0+5,3,81.07
2,2,6,0+5,3,81.084
2,2,7,0+5,3,81.106
2,2,8,0+5,3,81.056
2,2,9,0+5,3,81.108
2,2,10,0+5,3,80.99
2,2,11,0+5,3,81.05
2,2,1,0+9+5,4,81.064
2,2,2,0+9+5,4,80.886
2,2,3,0+9+5,4,81.002
2,2,4,0+9+5,4,81.008
2,2,6,0+9+5,4,81.0
2,2,7,0+9+5,4,81.0
2,2,8,0+9+5,4,80.962
2,2,10,0+9+5,4,81.014
2,2,11,0+9+5,4,80.83
2,2,2,0+1+5+9,5,80.892
2,2,3,0+1+5+9,5,80.912
2,2,4,0+1+5+9,5,80.932
2,2,6,0+1+5+9,5,80.926
2,2,7,0+1+5+9,5,80.948
2,2,8,0+1+5+9,5,80.898
2,2,10,0+1+5+9,5,80.918
2,2,11,0+1+5+9,5,80.824
2,2,2,0+1+5+7+9,6,80.772
2,2,3,0+1+5+7+9,6,80.862
2,2,4,0+1+5+7+9,6,80.778
2,2,6,0+1+5+7+9,6,80.82
2,2,8,0+1+5+7+9,6,80.802
2,2,10,0+1+5+7+9,6,80.878
2,2,11,0+1+5+7+9,6,80.582
2,2,2,0+1+5+7+9+10,7,80.634
2,2,3,0+1+5+7+9+10,7,80.782
2,2,4,0+1+5+7+9+10,7,80.692
2,2,6,0+1+5+7+9+10,7,80.706
2,2,8,0+1+5+7+9+10,7,80.686
2,2,11,0+1+5+7+9+10,7,80.48
2,2,2,0+1+3+5+7+9+10,8,80.488
2,2,4,0+1+3+5+7+9+10,8,80.688
2,2,6,0+1+3+5+7+9+10,8,80.584
2,2,8,0+1+3+5+7+9+10,8,80.62
2,2,11,0+1+3+5+7+9+10,8,80.396
2,2,2,0+1+3+4+5+7+9+10,9,80.396
2,2,6,0+1+3+4+5+7+9+10,9,80.458
2,2,8,0+1+3+4+5+7+9+10,9,80.562
2,2,11,0+1+3+4+5+7+9+10,9,80.168
2,2,2,0+1+3+4+5+7+8+9+10,10,80.234
2,2,6,0+1+3+4+5+7+8+9+10,10,80.34
2,2,11,0+1+3+4+5+7+8+9+10,10,80.114
2,2,2,0+1+3+4+5+6+7+8+9+10,11,80.08
2,2,11,0+1+3+4+5+6+7+8+9+10,11,80.008
2,2,11,0+1+2+3+4+5+6+7+8+9+10,12,79.638
2,3,0,,1,81.072
2,3,1,,1,81.154
2,3,2,,1,81.194
2,3,3,,1,81.102
2,3,4,,1,81.14
2,3,5,,1,81.13
2,3,6,,1,81.14
2,3,7,,1,81.246
2,3,8,,1,81.134
2,3,9,,1,81.044
2,3,10,,1,81.05
2,3,11,,1,81.076
2,3,0,7,2,81.056
2,3,1,7,2,81.132
2,3,2,7,2,81.15
2,3,3,7,2,81.18
2,3,4,7,2,81.132
2,3,5,7,2,81.106
2,3,6,7,2,81.126
2,3,8,7,2,81.206
2,3,9,7,2,80.986
2,3,10,7,2,81.01
2,3,11,7,2,81.1
2,3,0,8+7,3,80.95
2,3,1,8+7,3,81.104
2,3,2,8+7,3,81.156
2,3,3,8+7,3,81.114
2,3,4,8+7,3,81.16
2,3,5,8+7,3,81.08
2,3,6,8+7,3,81.12
2,3,9,8+7,3,81.02
2,3,10,8+7,3,80.928
2,3,11,8+7,3,81.06
2,3,0,8+4+7,4,81.01
2,3,1,8+4+7,4,81.096
2,3,2,8+4+7,4,81.134
2,3,3,8+4+7,4,81.064
2,3,5,8+4+7,4,81.13
2,3,6,8+4+7,4,81.13
2,3,9,8+4+7,4,80.974
2,3,10,8+4+7,4,80.976
2,3,11,8+4+7,4,81.042
2,3,0,8+2+4+7,5,81.014
2,3,1,8+2+4+7,5,81.108
2,3,3,8+2+4+7,5,81.04
2,3,5,8+2+4+7,5,81.064
2,3,6,8+2+4+7,5,81.094
2,3,9,8+2+4+7,5,80.912
2,3,10,8+2+4+7,5,80.952
2,3,11,8+2+4+7,5,80.99
2,3,0,1+2+4+7+8,6,81.024
2,3,3,1+2+4+7+8,6,80.972
2,3,5,1+2+4+7+8,6,81.076
2,3,6,1+2+4+7+8,6,81.078
2,3,9,1+2+4+7+8,6,80.896
2,3,10,1+2+4+7+8,6,80.972
2,3,11,1+2+4+7+8,6,81.088
2,3,0,1+2+4+7+8+11,7,80.888
2,3,3,1+2+4+7+8+11,7,80.938
2,3,5,1+2+4+7+8+11,7,81.038
2,3,6,1+2+4+7+8+11,7,81.032
2,3,9,1+2+4+7+8+11,7,80.89
2,3,10,1+2+4+7+8+11,7,80.908
2,3,0,1+2+4+5+7+8+11,8,80.898
2,3,3,1+2+4+5+7+8+11,8,80.984
2,3,6,1+2+4+5+7+8+11,8,80.984
2,3,9,1+2+4+5+7+8+11,8,80.888
2,3,10,1+2+4+5+7+8+11,8,80.924
